University Name,No,Country,Group
University of Goettingen,201,Germany,European
University of Montreal,104,Canada,North American
University of Sao Paulo,201,Brazil,other
University of Strasbourg,201,France,European
University of Utah,122,United States,North American
Vrije Universiteit Amsterdam,79,The Netherlands,European
Xi'an Jiaotong University,70,China,Asia/Oceania
Baylor College of Medicine,201,United States,North American
Beijing Institute of Technology,201,China,Asia/Oceania
Catholic University of Louvain,201,Belgium,European
Central South University,68,China,Asia/Oceania
GoeUniversity Frankfurt,201,Germany,European
Harbin Institute of Technology,74,China,Asia/Oceania
Jilin University,106,China,Asia/Oceania
Northwestern Polytechnical University,187,China,Asia/Oceania
Shandong University,96,China,Asia/Oceania
Sichuan University,86,China,Asia/Oceania
Soochow University,201,China,Asia/Oceania
South China University of Technology,114,China,Asia/Oceania
Southeast University,115,China,Asia/Oceania
Tel Aviv University,128,Israel,Asia/Oceania
University of Calgary,125,Canada,North American
Tianjin University,109,China,Asia/Oceania
Tongji University,113,China,Asia/Oceania
Tufts University,201,United States,North American
University of Barcelona,60,Spain,European
"University of California, Santa Cruz",201,United States,North American
University of Cologne,200,Germany,European
University of Electronic Science and Technology of China,166,China,Asia/Oceania
University of Milan,121,Italy,European
University of Montpellier,201,France,European
University of Muenster,201,Germany,European
University of Padova,201,Italy,European
University of Pisa,201,Italy,European
University of Sussex,201,British,European
University of Tuebingen,201,Germany,European
University of Virginia,161,United States,North American
Wuhan University,85,China,Asia/Oceania
University of Washington Seattle,10,United States,North American
Sorbonne Universite,14,France,European
University of New South Wales Sydney,42,Australia,Asia/Oceania
Karolinska Institutet,50,Sweden,European
Sapienza University Rome,89,Italy,European
University of Padua,92,Italy,European
Universite de Montpellier,108,France,European
Rutgers State University New Brunswick,118,United States,North American
Universidade de Lisboa,134,Portugal,European
Suzhou University,139,China,Asia/Oceania
Autonomous University of Barcelona,141,Spain,European
University of Hamburg,142,Germany,European
University of Ottawa,144,Canada,North American
Beihang University,149,China,Asia/Oceania
Charite Medical University of Berlin,150,Germany,European
Dalian University of Technology,155,China,Asia/Oceania
University of Naples Federico II,167,Italy,European
University of Erlangen Nuremberg,169,Germany,European
Universidade do Porto,172,Portugal,European
Xiamen University,174,China,Asia/Oceania
"University of Alabama, Birmingham",179,United States,North American
Queen Mary University London,180,Britain,European
Maastricht University,183,Netherlands,European
Chongqing University,184,China,Asia/Oceania
University of Turin,185,Italy,European
Universite Toulouse III,188,France,European
North Carolina State University,190,United States,North American
Charles University Prague,191,Czech Republic,European
Hunan University,193,China,Asia/Oceania
University of Gottingen,194,Germany,European
University of Iowa,198,United States,North American
Universite de Bordeaux,199,France,European
UNSW Sydney,201,Australia,Asia/Oceania
"Purdue University, West Lafayette",201,United States,North American
Penn State,201,United States,North American
Georgetown University,201,United States,North American
University of Antwerp,201,Belgium,European
University of Mannheim,201,Germany,European
Ulm University,201,Germany,European
Pompeu Fabra University,201,Spain,European
University of Aberdeen,201,British,European
Southern University of Science and Technology,201,China,Asia/Oceania
University of Wurzburg,201,Germany,European
Bielefeld University,201,Germany,European
Northeastern University,201,United States,North American
University of Canberra,201,Australia,Asia/Oceania
Ulsan National Institute of Science and Technology,201,South Korea,Asia/Oceania
University of East Anglia,201,British,European
University of Cape Town,201,South Africa,other
University of Notre Dame,201,United States,North American
University of Leicester,201,British,European
Queensland University of Technology,201,Australia,Asia/Oceania
Medical University of Graz,201,Austria,European
University of Hohenheim,201,Germany,European
Scuola Normale Superiore di Pisa,201,Italy,European
Catholic University of Leuven,201,Belgium,European
"Ohio State University, Columbus",201,United States,North American
Boston Universiy,201,United States,North American
King Abdullah University of Science & Technology,201,Saudi Arabia,Asia/Oceania
London School of Hygiene & Tropical Medicine,201,British,European
"University of Massachusetts, Amherst",201,United States,North American
Oregon Health & Science University,201,United States,North American
University of Chinese Academy of Sciences,201,China,Asia/Oceania
University Catholique of Louvain,201,Belgium,European
"University of California, Riverside",201,United States,North American
University of Colorado Anschutz Medical Campus,201,United States,North American
University of Cincinnati,201,United States,North American
"Stony Brook University, SUNY",201,United States,North American
University of Lisbon,201,Portugal,European
University of Witwatersrand,201,South Africa,other
